Date,Week,ProdName,Price,Seasonality,Quantity
3/4/2018,9,Basil Extra Virgin Olive Oil,28,7,6
3/6/2018,10,Basil Extra Virgin Olive Oil,28,2,3
3/7/2018,10,Basil Extra Virgin Olive Oil,25,3,1
3/8/2018,10,Basil Extra Virgin Olive Oil,29,4,0
3/9/2018,10,Basil Extra Virgin Olive Oil,28,5,6
3/10/2018,10,Basil Extra Virgin Olive Oil,25,6,7
3/11/2018,10,Basil Extra Virgin Olive Oil,26,7,9
3/12/2018,11,Basil Extra Virgin Olive Oil,23,1,1
3/13/2018,11,Basil Extra Virgin Olive Oil,27,2,2
3/14/2018,11,Basil Extra Virgin Olive Oil,27,3,0
3/16/2018,11,Basil Extra Virgin Olive Oil,28,5,1
3/17/2018,11,Basil Extra Virgin Olive Oil,24,6,8
3/18/2018,11,Basil Extra Virgin Olive Oil,24,7,8
3/20/2018,12,Basil Extra Virgin Olive Oil,27,2,1
3/21/2018,12,Basil Extra Virgin Olive Oil,24,3,5
3/22/2018,12,Basil Extra Virgin Olive Oil,29,4,4
3/23/2018,12,Basil Extra Virgin Olive Oil,26,5,2
3/25/2018,12,Basil Extra Virgin Olive Oil,23,7,8
3/26/2018,13,Basil Extra Virgin Olive Oil,26,1,4
3/27/2018,13,Basil Extra Virgin Olive Oil,23,2,4
3/29/2018,13,Basil Extra Virgin Olive Oil,26,4,3
3/30/2018,13,Basil Extra Virgin Olive Oil,27,5,7
3/31/2018,13,Basil Extra Virgin Olive Oil,29,6,6
4/1/2018,13,Basil Extra Virgin Olive Oil,24,7,7
4/2/2018,14,Basil Extra Virgin Olive Oil,24,1,1
4/6/2018,14,Basil Extra Virgin Olive Oil,27,5,4
4/7/2018,14,Basil Extra Virgin Olive Oil,23,6,7
4/8/2018,14,Basil Extra Virgin Olive Oil,27,7,7
4/11/2018,15,Basil Extra Virgin Olive Oil,27,3,4
4/12/2018,15,Basil Extra Virgin Olive Oil,25,4,3
4/13/2018,15,Basil Extra Virgin Olive Oil,28,5,2
4/14/2018,15,Basil Extra Virgin Olive Oil,26,6,9
4/15/2018,15,Basil Extra Virgin Olive Oil,23,7,9
4/16/2018,16,Basil Extra Virgin Olive Oil,25,1,1
4/17/2018,16,Basil Extra Virgin Olive Oil,23,2,3
4/21/2018,16,Basil Extra Virgin Olive Oil,25,6,8
4/22/2018,16,Basil Extra Virgin Olive Oil,23,7,10
4/23/2018,17,Basil Extra Virgin Olive Oil,29,1,3
4/24/2018,17,Basil Extra Virgin Olive Oil,28,2,0
4/25/2018,17,Basil Extra Virgin Olive Oil,24,3,1
4/26/2018,17,Basil Extra Virgin Olive Oil,24,4,6
4/27/2018,17,Basil Extra Virgin Olive Oil,29,5,2
4/28/2018,17,Basil Extra Virgin Olive Oil,27,6,7
4/29/2018,17,Basil Extra Virgin Olive Oil,24,7,9
4/30/2018,18,Basil Extra Virgin Olive Oil,28,1,0
5/1/2018,18,Basil Extra Virgin Olive Oil,27,2,2
5/2/2018,18,Basil Extra Virgin Olive Oil,29,3,4
5/3/2018,18,Basil Extra Virgin Olive Oil,27,4,4
5/4/2018,18,Basil Extra Virgin Olive Oil,28,5,1
5/5/2018,18,Basil Extra Virgin Olive Oil,28,6,11
5/6/2018,18,Basil Extra Virgin Olive Oil,25,7,4
5/7/2018,19,Basil Extra Virgin Olive Oil,27,1,0
5/8/2018,19,Basil Extra Virgin Olive Oil,24,2,6
5/9/2018,19,Basil Extra Virgin Olive Oil,23,3,4
5/10/2018,19,Basil Extra Virgin Olive Oil,29,4,4
5/11/2018,19,Basil Extra Virgin Olive Oil,28,5,4
5/15/2018,20,Basil Extra Virgin Olive Oil,27,2,4
5/16/2018,20,Basil Extra Virgin Olive Oil,23,3,6
5/19/2018,20,Basil Extra Virgin Olive Oil,28,6,4
5/20/2018,20,Basil Extra Virgin Olive Oil,23,7,8
5/21/2018,21,Basil Extra Virgin Olive Oil,24,1,3
5/22/2018,21,Basil Extra Virgin Olive Oil,27,2,2
5/23/2018,21,Basil Extra Virgin Olive Oil,25,3,5
5/24/2018,21,Basil Extra Virgin Olive Oil,26,4,1
5/25/2018,21,Basil Extra Virgin Olive Oil,23,5,5
5/26/2018,21,Basil Extra Virgin Olive Oil,29,6,8
5/27/2018,21,Basil Extra Virgin Olive Oil,28,7,8
5/29/2018,22,Basil Extra Virgin Olive Oil,23,2,2
5/30/2018,22,Basil Extra Virgin Olive Oil,26,3,3
5/31/2018,22,Basil Extra Virgin Olive Oil,29,4,4
6/1/2018,22,Basil Extra Virgin Olive Oil,28,5,1
6/2/2018,22,Basil Extra Virgin Olive Oil,25,6,7
6/3/2018,22,Basil Extra Virgin Olive Oil,29,7,7
6/5/2018,23,Basil Extra Virgin Olive Oil,29,2,0
6/6/2018,23,Basil Extra Virgin Olive Oil,29,3,0
6/7/2018,23,Basil Extra Virgin Olive Oil,28,4,3
6/8/2018,23,Basil Extra Virgin Olive Oil,26,5,5
6/9/2018,23,Basil Extra Virgin Olive Oil,25,6,6
6/10/2018,23,Basil Extra Virgin Olive Oil,26,7,4
6/11/2018,24,Basil Extra Virgin Olive Oil,24,1,0
6/12/2018,24,Basil Extra Virgin Olive Oil,27,2,0
6/14/2018,24,Basil Extra Virgin Olive Oil,25,4,5
6/15/2018,24,Basil Extra Virgin Olive Oil,27,5,1
6/16/2018,24,Basil Extra Virgin Olive Oil,27,6,6
6/17/2018,24,Basil Extra Virgin Olive Oil,24,7,5
6/18/2018,25,Basil Extra Virgin Olive Oil,23,1,3
6/19/2018,25,Basil Extra Virgin Olive Oil,29,2,3
6/20/2018,25,Basil Extra Virgin Olive Oil,26,3,5
6/21/2018,25,Basil Extra Virgin Olive Oil,28,4,2
6/23/2018,25,Basil Extra Virgin Olive Oil,24,6,10
6/24/2018,25,Basil Extra Virgin Olive Oil,29,7,9
6/25/2018,26,Basil Extra Virgin Olive Oil,27,1,0
6/26/2018,26,Basil Extra Virgin Olive Oil,28,2,1
6/28/2018,26,Basil Extra Virgin Olive Oil,23,4,3
6/29/2018,26,Basil Extra Virgin Olive Oil,27,5,3
6/30/2018,26,Basil Extra Virgin Olive Oil,29,6,7
7/1/2018,26,Basil Extra Virgin Olive Oil,28,7,7
7/2/2018,27,Basil Extra Virgin Olive Oil,29,1,0
7/3/2018,27,Basil Extra Virgin Olive Oil,27,2,0
7/4/2018,27,Basil Extra Virgin Olive Oil,29,3,1
7/6/2018,27,Basil Extra Virgin Olive Oil,23,5,9
7/7/2018,27,Basil Extra Virgin Olive Oil,24,6,9
7/8/2018,27,Basil Extra Virgin Olive Oil,26,7,4
7/9/2018,28,Basil Extra Virgin Olive Oil,24,1,2
7/10/2018,28,Basil Extra Virgin Olive Oil,27,2,5
7/12/2018,28,Basil Extra Virgin Olive Oil,23,4,7
7/13/2018,28,Basil Extra Virgin Olive Oil,29,5,3
7/14/2018,28,Basil Extra Virgin Olive Oil,26,6,7
7/15/2018,28,Basil Extra Virgin Olive Oil,29,7,7
7/16/2018,29,Basil Extra Virgin Olive Oil,26,1,2
7/17/2018,29,Basil Extra Virgin Olive Oil,26,2,0
7/18/2018,29,Basil Extra Virgin Olive Oil,25,3,7
7/19/2018,29,Basil Extra Virgin Olive Oil,25,4,5
7/20/2018,29,Basil Extra Virgin Olive Oil,26,5,7
7/22/2018,29,Basil Extra Virgin Olive Oil,23,7,8
7/23/2018,30,Basil Extra Virgin Olive Oil,24,1,3
7/24/2018,30,Basil Extra Virgin Olive Oil,24,2,4
7/25/2018,30,Basil Extra Virgin Olive Oil,24,3,6
7/26/2018,30,Basil Extra Virgin Olive Oil,28,4,2
7/27/2018,30,Basil Extra Virgin Olive Oil,27,5,3
7/28/2018,30,Basil Extra Virgin Olive Oil,27,6,6
7/29/2018,30,Basil Extra Virgin Olive Oil,27,7,8
7/30/2018,31,Basil Extra Virgin Olive Oil,29,1,0
7/31/2018,31,Basil Extra Virgin Olive Oil,25,2,2
8/1/2018,31,Basil Extra Virgin Olive Oil,24,3,5
8/2/2018,31,Basil Extra Virgin Olive Oil,23,4,5
8/3/2018,31,Basil Extra Virgin Olive Oil,23,5,6
8/4/2018,31,Basil Extra Virgin Olive Oil,29,6,7
8/6/2018,32,Basil Extra Virgin Olive Oil,25,1,1
8/7/2018,32,Basil Extra Virgin Olive Oil,28,2,4
8/8/2018,32,Basil Extra Virgin Olive Oil,27,3,3
8/9/2018,32,Basil Extra Virgin Olive Oil,23,4,6
8/10/2018,32,Basil Extra Virgin Olive Oil,27,5,7
8/12/2018,32,Basil Extra Virgin Olive Oil,29,7,2
8/14/2018,33,Basil Extra Virgin Olive Oil,27,2,4
8/15/2018,33,Basil Extra Virgin Olive Oil,28,3,2
8/16/2018,33,Basil Extra Virgin Olive Oil,26,4,6
8/17/2018,33,Basil Extra Virgin Olive Oil,29,5,6
8/19/2018,33,Basil Extra Virgin Olive Oil,27,7,7
8/20/2018,34,Basil Extra Virgin Olive Oil,28,1,2
8/21/2018,34,Basil Extra Virgin Olive Oil,24,2,5
8/22/2018,34,Basil Extra Virgin Olive Oil,23,3,5
8/23/2018,34,Basil Extra Virgin Olive Oil,29,4,6
8/25/2018,34,Basil Extra Virgin Olive Oil,29,6,7
8/26/2018,34,Basil Extra Virgin Olive Oil,26,7,9
8/28/2018,35,Basil Extra Virgin Olive Oil,24,2,2
8/29/2018,35,Basil Extra Virgin Olive Oil,26,3,2
8/30/2018,35,Basil Extra Virgin Olive Oil,25,4,4
8/31/2018,35,Basil Extra Virgin Olive Oil,26,5,2
9/1/2018,35,Basil Extra Virgin Olive Oil,27,6,6
9/2/2018,35,Basil Extra Virgin Olive Oil,28,7,7
9/3/2018,36,Basil Extra Virgin Olive Oil,24,1,1
9/4/2018,36,Basil Extra Virgin Olive Oil,26,2,2
9/5/2018,36,Basil Extra Virgin Olive Oil,27,3,3
9/6/2018,36,Basil Extra Virgin Olive Oil,29,4,3
9/8/2018,36,Basil Extra Virgin Olive Oil,23,6,9
9/9/2018,36,Basil Extra Virgin Olive Oil,27,7,6
9/10/2018,37,Basil Extra Virgin Olive Oil,27,1,1
9/12/2018,37,Basil Extra Virgin Olive Oil,23,3,4
9/13/2018,37,Basil Extra Virgin Olive Oil,27,4,1
9/14/2018,37,Basil Extra Virgin Olive Oil,28,5,4
9/15/2018,37,Basil Extra Virgin Olive Oil,25,6,7
9/16/2018,37,Basil Extra Virgin Olive Oil,25,7,6
9/17/2018,38,Basil Extra Virgin Olive Oil,29,1,2
9/18/2018,38,Basil Extra Virgin Olive Oil,28,2,3
9/19/2018,38,Basil Extra Virgin Olive Oil,26,3,2
9/20/2018,38,Basil Extra Virgin Olive Oil,27,4,5
9/21/2018,38,Basil Extra Virgin Olive Oil,26,5,4
9/22/2018,38,Basil Extra Virgin Olive Oil,29,6,7
9/23/2018,38,Basil Extra Virgin Olive Oil,23,7,9
9/24/2018,39,Basil Extra Virgin Olive Oil,26,1,3
9/25/2018,39,Basil Extra Virgin Olive Oil,29,2,2
9/26/2018,39,Basil Extra Virgin Olive Oil,28,3,3
9/27/2018,39,Basil Extra Virgin Olive Oil,28,4,3
9/28/2018,39,Basil Extra Virgin Olive Oil,28,5,8
9/29/2018,39,Basil Extra Virgin Olive Oil,27,6,7
9/30/2018,39,Basil Extra Virgin Olive Oil,23,7,8
10/1/2018,40,Basil Extra Virgin Olive Oil,27,1,1
10/2/2018,40,Basil Extra Virgin Olive Oil,23,2,2
10/3/2018,40,Basil Extra Virgin Olive Oil,29,3,4
10/4/2018,40,Basil Extra Virgin Olive Oil,24,4,3
10/5/2018,40,Basil Extra Virgin Olive Oil,23,5,6
10/6/2018,40,Basil Extra Virgin Olive Oil,29,6,6
10/8/2018,41,Basil Extra Virgin Olive Oil,28,1,3
10/9/2018,41,Basil Extra Virgin Olive Oil,23,2,6
10/10/2018,41,Basil Extra Virgin Olive Oil,25,3,5
10/11/2018,41,Basil Extra Virgin Olive Oil,25,4,4
10/12/2018,41,Basil Extra Virgin Olive Oil,23,5,7
10/13/2018,41,Basil Extra Virgin Olive Oil,23,6,11
10/14/2018,41,Basil Extra Virgin Olive Oil,28,7,8
10/15/2018,42,Basil Extra Virgin Olive Oil,29,1,2
10/16/2018,42,Basil Extra Virgin Olive Oil,27,2,0
10/21/2018,42,Basil Extra Virgin Olive Oil,28,7,10
10/22/2018,43,Basil Extra Virgin Olive Oil,23,1,5
10/23/2018,43,Basil Extra Virgin Olive Oil,27,2,7
10/25/2018,43,Basil Extra Virgin Olive Oil,23,4,4
10/26/2018,43,Basil Extra Virgin Olive Oil,25,5,6
10/27/2018,43,Basil Extra Virgin Olive Oil,26,6,10
10/28/2018,43,Basil Extra Virgin Olive Oil,23,7,9
10/30/2018,44,Basil Extra Virgin Olive Oil,25,2,2
10/31/2018,44,Basil Extra Virgin Olive Oil,28,3,3
11/1/2018,44,Basil Extra Virgin Olive Oil,29,4,4
11/3/2018,44,Basil Extra Virgin Olive Oil,23,6,8
11/4/2018,44,Basil Extra Virgin Olive Oil,25,7,7
11/6/2018,45,Basil Extra Virgin Olive Oil,24,2,3
11/7/2018,45,Basil Extra Virgin Olive Oil,28,3,1
11/8/2018,45,Basil Extra Virgin Olive Oil,27,4,5
11/9/2018,45,Basil Extra Virgin Olive Oil,23,5,3
11/10/2018,45,Basil Extra Virgin Olive Oil,29,6,9
11/11/2018,45,Basil Extra Virgin Olive Oil,28,7,6
11/12/2018,46,Basil Extra Virgin Olive Oil,27,1,2
11/13/2018,46,Basil Extra Virgin Olive Oil,28,2,2
11/14/2018,46,Basil Extra Virgin Olive Oil,27,3,1
11/17/2018,46,Basil Extra Virgin Olive Oil,24,6,12
11/18/2018,46,Basil Extra Virgin Olive Oil,24,7,6
11/19/2018,47,Basil Extra Virgin Olive Oil,26,1,2
11/20/2018,47,Basil Extra Virgin Olive Oil,23,2,4
11/21/2018,47,Basil Extra Virgin Olive Oil,23,3,9
11/23/2018,47,Basil Extra Virgin Olive Oil,29,5,5
11/24/2018,47,Basil Extra Virgin Olive Oil,25,6,9
11/25/2018,47,Basil Extra Virgin Olive Oil,26,7,6
11/26/2018,48,Basil Extra Virgin Olive Oil,27,1,5
11/27/2018,48,Basil Extra Virgin Olive Oil,29,2,0
11/29/2018,48,Basil Extra Virgin Olive Oil,23,4,7
11/30/2018,48,Basil Extra Virgin Olive Oil,24,5,8
12/1/2018,48,Basil Extra Virgin Olive Oil,25,6,8
12/2/2018,48,Basil Extra Virgin Olive Oil,29,7,4
12/5/2018,49,Basil Extra Virgin Olive Oil,26,3,0
12/6/2018,49,Basil Extra Virgin Olive Oil,26,4,5
12/7/2018,49,Basil Extra Virgin Olive Oil,29,5,8
12/8/2018,49,Basil Extra Virgin Olive Oil,24,6,11
12/9/2018,49,Basil Extra Virgin Olive Oil,25,7,8
12/11/2018,50,Basil Extra Virgin Olive Oil,23,2,4
12/12/2018,50,Basil Extra Virgin Olive Oil,25,3,6
12/13/2018,50,Basil Extra Virgin Olive Oil,27,4,5
12/15/2018,50,Basil Extra Virgin Olive Oil,27,6,10
12/16/2018,50,Basil Extra Virgin Olive Oil,26,7,5
12/17/2018,51,Basil Extra Virgin Olive Oil,24,1,2
12/18/2018,51,Basil Extra Virgin Olive Oil,26,2,1
12/19/2018,51,Basil Extra Virgin Olive Oil,28,3,3
12/20/2018,51,Basil Extra Virgin Olive Oil,28,4,1
12/21/2018,51,Basil Extra Virgin Olive Oil,27,5,4
12/23/2018,51,Basil Extra Virgin Olive Oil,27,7,4
12/24/2018,52,Basil Extra Virgin Olive Oil,29,1,1
12/25/2018,52,Basil Extra Virgin Olive Oil,28,2,3
12/27/2018,52,Basil Extra Virgin Olive Oil,29,4,7
12/28/2018,52,Basil Extra Virgin Olive Oil,27,5,8
12/30/2018,52,Basil Extra Virgin Olive Oil,26,7,8
12/31/2018,53,Basil Extra Virgin Olive Oil,27,1,0
1/1/2019,53,Basil Extra Virgin Olive Oil,29,2,2
1/2/2019,53,Basil Extra Virgin Olive Oil,25,3,3
1/3/2019,53,Basil Extra Virgin Olive Oil,29,4,5
1/5/2019,53,Basil Extra Virgin Olive Oil,26,6,11
1/6/2019,53,Basil Extra Virgin Olive Oil,26,7,5
1/7/2019,54,Basil Extra Virgin Olive Oil,26,1,2
1/8/2019,54,Basil Extra Virgin Olive Oil,28,2,2
1/11/2019,54,Basil Extra Virgin Olive Oil,24,5,7
1/12/2019,54,Basil Extra Virgin Olive Oil,29,6,4
1/13/2019,54,Basil Extra Virgin Olive Oil,27,7,5
1/14/2019,55,Basil Extra Virgin Olive Oil,23,1,3
1/15/2019,55,Basil Extra Virgin Olive Oil,25,2,6
1/16/2019,55,Basil Extra Virgin Olive Oil,28,3,5
1/19/2019,55,Basil Extra Virgin Olive Oil,24,6,6
1/20/2019,55,Basil Extra Virgin Olive Oil,27,7,7
1/21/2019,56,Basil Extra Virgin Olive Oil,28,1,2
1/22/2019,56,Basil Extra Virgin Olive Oil,28,2,4
1/23/2019,56,Basil Extra Virgin Olive Oil,29,3,6
1/24/2019,56,Basil Extra Virgin Olive Oil,23,4,4
1/25/2019,56,Basil Extra Virgin Olive Oil,24,5,9
1/26/2019,56,Basil Extra Virgin Olive Oil,28,6,10
1/27/2019,56,Basil Extra Virgin Olive Oil,25,7,7
1/28/2019,57,Basil Extra Virgin Olive Oil,24,1,3
1/29/2019,57,Basil Extra Virgin Olive Oil,26,2,5
1/30/2019,57,Basil Extra Virgin Olive Oil,29,3,5
1/31/2019,57,Basil Extra Virgin Olive Oil,27,4,6
2/1/2019,57,Basil Extra Virgin Olive Oil,23,5,9
2/3/2019,57,Basil Extra Virgin Olive Oil,27,7,7
2/6/2019,58,Basil Extra Virgin Olive Oil,28,3,2
2/7/2019,58,Basil Extra Virgin Olive Oil,24,4,5
2/8/2019,58,Basil Extra Virgin Olive Oil,29,5,7
2/9/2019,58,Basil Extra Virgin Olive Oil,27,6,6
2/11/2019,59,Basil Extra Virgin Olive Oil,23,1,7
2/12/2019,59,Basil Extra Virgin Olive Oil,28,2,7
2/13/2019,59,Basil Extra Virgin Olive Oil,29,3,3
2/14/2019,59,Basil Extra Virgin Olive Oil,23,4,10
2/15/2019,59,Basil Extra Virgin Olive Oil,26,5,5
2/17/2019,59,Basil Extra Virgin Olive Oil,27,7,7
2/20/2019,60,Basil Extra Virgin Olive Oil,26,3,4
2/21/2019,60,Basil Extra Virgin Olive Oil,26,4,5
2/22/2019,60,Basil Extra Virgin Olive Oil,26,5,10
2/23/2019,60,Basil Extra Virgin Olive Oil,29,6,11
2/24/2019,60,Basil Extra Virgin Olive Oil,29,7,7
2/25/2019,61,Basil Extra Virgin Olive Oil,29,1,0
2/26/2019,61,Basil Extra Virgin Olive Oil,25,2,3
2/28/2019,61,Basil Extra Virgin Olive Oil,25,4,5
3/2/2019,61,Basil Extra Virgin Olive Oil,24,6,10
3/4/2019,62,Basil Extra Virgin Olive Oil,25,1,7
3/6/2019,62,Basil Extra Virgin Olive Oil,26,3,5
3/9/2019,62,Basil Extra Virgin Olive Oil,23,6,10
3/10/2019,62,Basil Extra Virgin Olive Oil,24,7,12
3/11/2019,63,Basil Extra Virgin Olive Oil,26,1,0
3/13/2019,63,Basil Extra Virgin Olive Oil,29,3,1
3/14/2019,63,Basil Extra Virgin Olive Oil,26,4,5
3/15/2019,63,Basil Extra Virgin Olive Oil,24,5,5
3/16/2019,63,Basil Extra Virgin Olive Oil,27,6,8
3/17/2019,63,Basil Extra Virgin Olive Oil,28,7,8
3/18/2019,64,Basil Extra Virgin Olive Oil,28,1,0
3/19/2019,64,Basil Extra Virgin Olive Oil,24,2,4
3/21/2019,64,Basil Extra Virgin Olive Oil,26,4,4
3/22/2019,64,Basil Extra Virgin Olive Oil,27,5,4
3/24/2019,64,Basil Extra Virgin Olive Oil,29,7,5
3/25/2019,65,Basil Extra Virgin Olive Oil,27,1,0
3/26/2019,65,Basil Extra Virgin Olive Oil,23,2,8
3/27/2019,65,Basil Extra Virgin Olive Oil,28,3,5
3/28/2019,65,Basil Extra Virgin Olive Oil,23,4,9
3/29/2019,65,Basil Extra Virgin Olive Oil,29,5,4
3/30/2019,65,Basil Extra Virgin Olive Oil,24,6,8
3/31/2019,65,Basil Extra Virgin Olive Oil,29,7,4
4/1/2019,66,Basil Extra Virgin Olive Oil,29,1,0
4/3/2019,66,Basil Extra Virgin Olive Oil,24,3,7
4/4/2019,66,Basil Extra Virgin Olive Oil,28,4,0
4/6/2019,66,Basil Extra Virgin Olive Oil,25,6,10
4/7/2019,66,Basil Extra Virgin Olive Oil,27,7,5
4/9/2019,67,Basil Extra Virgin Olive Oil,26,2,8
4/11/2019,67,Basil Extra Virgin Olive Oil,24,4,7
4/12/2019,67,Basil Extra Virgin Olive Oil,28,5,11
4/13/2019,67,Basil Extra Virgin Olive Oil,28,6,11
4/14/2019,67,Basil Extra Virgin Olive Oil,24,7,10
4/15/2019,68,Basil Extra Virgin Olive Oil,28,1,3
4/16/2019,68,Basil Extra Virgin Olive Oil,28,2,6
4/18/2019,68,Basil Extra Virgin Olive Oil,23,4,7
4/20/2019,68,Basil Extra Virgin Olive Oil,29,6,11
4/21/2019,68,Basil Extra Virgin Olive Oil,27,7,7
4/22/2019,69,Basil Extra Virgin Olive Oil,23,1,3
4/23/2019,69,Basil Extra Virgin Olive Oil,24,2,4
4/24/2019,69,Basil Extra Virgin Olive Oil,25,3,3
4/26/2019,69,Basil Extra Virgin Olive Oil,24,5,7
4/27/2019,69,Basil Extra Virgin Olive Oil,23,6,11
4/28/2019,69,Basil Extra Virgin Olive Oil,27,7,6
4/29/2019,70,Basil Extra Virgin Olive Oil,25,1,2
5/1/2019,70,Basil Extra Virgin Olive Oil,27,3,8
5/2/2019,70,Basil Extra Virgin Olive Oil,29,4,5
5/3/2019,70,Basil Extra Virgin Olive Oil,28,5,5
5/4/2019,70,Basil Extra Virgin Olive Oil,28,6,4
5/5/2019,70,Basil Extra Virgin Olive Oil,25,7,8
5/6/2019,71,Basil Extra Virgin Olive Oil,23,1,0
5/9/2019,71,Basil Extra Virgin Olive Oil,28,4,4
5/11/2019,71,Basil Extra Virgin Olive Oil,29,6,9
5/12/2019,71,Basil Extra Virgin Olive Oil,26,7,10
5/13/2019,72,Basil Extra Virgin Olive Oil,24,1,1
5/14/2019,72,Basil Extra Virgin Olive Oil,27,2,9
5/16/2019,72,Basil Extra Virgin Olive Oil,27,4,4
5/18/2019,72,Basil Extra Virgin Olive Oil,27,6,11
5/19/2019,72,Basil Extra Virgin Olive Oil,25,7,8
5/20/2019,73,Basil Extra Virgin Olive Oil,29,1,3
5/21/2019,73,Basil Extra Virgin Olive Oil,24,2,8
5/22/2019,73,Basil Extra Virgin Olive Oil,25,3,5
5/23/2019,73,Basil Extra Virgin Olive Oil,26,4,3
5/24/2019,73,Basil Extra Virgin Olive Oil,23,5,6
5/25/2019,73,Basil Extra Virgin Olive Oil,27,6,9
5/26/2019,73,Basil Extra Virgin Olive Oil,26,7,7
5/27/2019,74,Basil Extra Virgin Olive Oil,24,1,5
5/28/2019,74,Basil Extra Virgin Olive Oil,24,2,3
5/29/2019,74,Basil Extra Virgin Olive Oil,26,3,4
5/30/2019,74,Basil Extra Virgin Olive Oil,28,4,5
5/31/2019,74,Basil Extra Virgin Olive Oil,26,5,4
6/1/2019,74,Basil Extra Virgin Olive Oil,28,6,10
6/2/2019,74,Basil Extra Virgin Olive Oil,25,7,5
6/3/2019,75,Basil Extra Virgin Olive Oil,26,1,4
6/4/2019,75,Basil Extra Virgin Olive Oil,28,2,0
6/5/2019,75,Basil Extra Virgin Olive Oil,25,3,4
6/6/2019,75,Basil Extra Virgin Olive Oil,28,4,2
6/8/2019,75,Basil Extra Virgin Olive Oil,29,6,10
6/9/2019,75,Basil Extra Virgin Olive Oil,24,7,11
6/10/2019,76,Basil Extra Virgin Olive Oil,26,1,0
6/11/2019,76,Basil Extra Virgin Olive Oil,26,2,7
6/15/2019,76,Basil Extra Virgin Olive Oil,29,6,9
6/16/2019,76,Basil Extra Virgin Olive Oil,26,7,8
6/18/2019,77,Basil Extra Virgin Olive Oil,26,2,4
6/19/2019,77,Basil Extra Virgin Olive Oil,25,3,5
6/21/2019,77,Basil Extra Virgin Olive Oil,23,5,7
6/22/2019,77,Basil Extra Virgin Olive Oil,26,6,10
6/23/2019,77,Basil Extra Virgin Olive Oil,26,7,9
